rank,primary_isbn13,publisher,title,author,category,pub_date,Amazon Product ID,Amazon Rating,Amazon Rating Total,Amazon Price
11,9781982168018,Gallery,TASTE,Stanley Tucci,Hardcover Nonfiction,2022-02-06,1982168013,4.7,3118.0,14.0
8,9780062888341,Harper,THE STRANGER IN THE LIFEBOAT,Mitch Albom,Hardcover Fiction,2022-02-06,006288834X,4.6,9966.0,15.07
10,9780385547932,Doubleday,TO PARADISE,Hanya Yanagihara,Hardcover Fiction,2022-02-06,B091XWH5T2,4.2,204.0,14.99
11,9780593465066,Viking,CALL US WHAT WE CARRY,Amanda Gorman,Hardcover Fiction,2022-02-06,0593465067,4.9,1794.0,14.53
12,9781982168438,Scribner,CLOUD CUCKOO LAND,Anthony Doerr,Hardcover Fiction,2022-02-06,B08TRMSR3Z,4.5,8792.0,15.99
14,9781538728628,Grand Central,THE WISH,Nicholas Sparks,Hardcover Fiction,2022-02-06,B08RYQDKP2,4.7,20127.0,14.99
15,9781101885680,Delacorte,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Hardcover Fiction,2022-02-06,B0925FP6G6,4.7,25138.0,15.99
1,9780593230572,One World,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",Hardcover Nonfiction,2022-02-06,0593230574,4.8,4021.0,22.8
2,9780358567363,Harvest,ENOUGH ALREADY,Valerie Bertinelli,Hardcover Nonfiction,2022-02-06,035856736X,4.6,669.0,16.29
3,9780062892355,Harper,THE BETRAYAL OF ANNE FRANK,Rosemary Sullivan,Hardcover Nonfiction,2022-02-06,0062892355,4.1,131.0,18.48
4,9780063209787,Harper,UNTHINKABLE,Jamie Raskin,Hardcover Nonfiction,2022-02-06,0063209780,4.8,951.0,18.79
5,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2022-02-06,B08HLW2JXD,4.7,50291.0,0.0
6,9781984877925,Penguin Press,WILL,Will Smith with Mark Manson,Hardcover Nonfiction,2022-02-06,1984877925,4.8,8916.0,18.68
7,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2022-02-06,0525657746,4.5,5848.0,15.95
8,9780063076099,Dey Street,THE STORYTELLER,Dave Grohl,Hardcover Nonfiction,2022-02-06,B091WVM1JD,4.8,10653.0,0.0
9,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2022-02-06,1984801252,4.6,48785.0,16.47
10,9781982132118,Atria,BLOOD IN THE GARDEN,Chris Herring,Hardcover Nonfiction,2022-02-06,1982132116,4.8,66.0,19.57
