rank,primary_isbn13,publisher,title,category,pub_date,Amazon Product ID,Amazon Price,Amazon Rating,Amazon Rating Total
5,9780345544964,Ballantine,SMALL GREAT THINGS,E-Book Fiction,2022-02-02,0345544978,13.58,4.7,20928.0
7,9781476738031,Atria,A MAN CALLED OVE,E-Book Fiction,2022-02-02,1476738025,7.63,4.6,41771.0
8,9780425285350,Delacorte,THE MISTRESS,E-Book Fiction,2022-02-02,B01E2GZ5FC,6.99,4.5,2652.0
9,9780698193000,Berkley,THE GUESTS ON SOUTH BATTERY,E-Book Fiction,2022-02-02,B01E4WAFW2,11.99,4.7,1423.0
10,9781455586493,Grand Central,NO MAN'S LAND,E-Book Fiction,2022-02-02,B01FQLZS1S,9.99,4.6,8369.0
11,9780399574184,Putnam,BELOW THE BELT,E-Book Fiction,2022-02-02,B01E4WAFFO,9.99,4.5,1365.0
14,9781455526956,Grand Central,THE BLACK BOX,Combined Print Fiction,2022-02-02,B0076DELIG,11.99,4.5,7461.0
13,9780345803481,Vintage,FIFTY SHADES OF GREY,Combined Print Fiction,2022-02-02,B007R07BK8,0.0,4.0,56993.0
12,9780307346612,Broadway,WORLD WAR Z,Combined Print Fiction,2022-02-02,B00BIK73QA,0.0,4.4,7675.0
15,9780374715144,"Farrar, Straus & Giroux",THANK YOU FOR BEING LATE,E-Book Nonfiction,2022-02-02,B01M6Y5Y66,0.0,4.6,2107.0
14,9781101886977,Ballantine,TROUBLEMAKER,E-Book Nonfiction,2022-02-02,B01604H1DI,0.0,4.7,7852.0
13,9780399588181,Spiegel & Grau,BORN A CRIME,E-Book Nonfiction,2022-02-02,B01IW9TM5O,0.0,4.8,40925.0
12,9780718081539,W Publishing/Thomas Nelson,THE MAGNOLIA STORY,E-Book Nonfiction,2022-02-02,B01DFBXA8O,0.0,4.8,9951.0
11,9781101200858,Penguin,ALEXANDER HAMILTON,E-Book Nonfiction,2022-02-02,B0007OB58A,0.0,4.8,17866.0
1,9780062363619,Morrow/HarperCollins,HIDDEN FIGURES,E-Book Nonfiction,2022-02-02,0062363603,10.17,4.6,5819.0
3,9780062213679,Morrow,UNSINKABLE,E-Book Nonfiction,2022-02-02,B00BW9ZW88,0.0,4.4,1295.0
4,9781455540020,Grand Central,THE LOST CITY OF THE MONKEY GOD,E-Book Nonfiction,2022-02-02,B01MXRV10A,0.0,4.4,4915.0
5,9781439153802,Simon & Schuster,WISHFUL DRINKING,E-Book Nonfiction,2022-02-02,B001NQ6HKW,0.0,4.4,2980.0
6,9780062569066,Morrow/HarperCollins,THREE DAYS IN JANUARY,E-Book Nonfiction,2022-02-02,B01ER6LJFM,11.99,4.6,1241.0
7,9781627790635,Holt,KILLING THE RISING SUN,E-Book Nonfiction,2022-02-02,B01EIL01T6,0.0,4.8,10712.0
8,9780812988413,Random House,WHEN BREATH BECOMES AIR,E-Book Nonfiction,2022-02-02,081298840X,14.63,4.8,23204.0
11,9780553573404,Bantam,A GAME OF THRONES,Combined Print Fiction,2022-02-02,B0001DBI1Q,0.0,4.7,24270.0
2,9780593356159,Ballantine,THE MAID,Hardcover Fiction,2022-02-02,B091Y4KGFH,13.99,4.3,5091.0
10,9780446547635,Grand Central,THE BEST OF ME,Combined Print Fiction,2022-02-02,B004QZ9PLU,8.99,4.6,7782.0
9,9780307588364,Crown,GONE GIRL,Combined Print Fiction,2022-02-02,B0088UT8IO,0.0,4.1,63771.0
8,9781451668940,Simon & Schuster,DADDY'S GONE A HUNTING,Combined Print Fiction,2022-02-02,B009R659L8,0.0,4.5,2011.0
7,9780812993844,Dial,WEDDING NIGHT,Combined Print Fiction,2022-02-02,0812993845,5.78,3.9,3570.0
6,9780061928178,Harper Perennial,BEAUTIFUL RUINS,Combined Print Fiction,2022-02-02,0061928178,11.59,4.0,4229.0
5,9780316176484,Reagan Arthur Books,LIFE AFTER LIFE,Combined Print Fiction,2022-02-02,0316176494,10.67,3.9,7945.0
4,9780385535304,Doubleday,PARIS,Combined Print Fiction,2022-02-02,B00B3Y1CI6,0.0,4.4,2788.0
3,9780312577216,St. Martin's,FLY AWAY,Combined Print Fiction,2022-02-02,1250031818,10.67,4.5,13801.0
2,9780399159893,Putnam,WHISKEY BEACH,Combined Print Fiction,2022-02-02,B00BPDZURE,0.0,4.6,7622.0
1,9781455521210,Grand Central,THE HIT,Combined Print Fiction,2022-02-02,B00A6JLDJ2,11.99,4.6,11503.0
2,9780358567363,Harvest,ENOUGH ALREADY,Hardcover Nonfiction,2022-02-02,035856736X,16.2,4.6,665.0
9,9780393254600,Norton,THE UNDOING PROJECT,E-Book Nonfiction,2022-02-02,B01KBM82M4,0.0,4.4,3212.0
15,9781101885680,Delacorte,GO TELL THE BEES THAT I AM GONE,Hardcover Fiction,2022-02-02,B0925FP6G6,15.99,4.7,25126.0
8,9780062888341,Harper,THE STRANGER IN THE LIFEBOAT,Hardcover Fiction,2022-02-02,006288834X,15.07,4.6,9965.0
14,9781538728628,Grand Central,THE WISH,Hardcover Fiction,2022-02-02,B08RYQDKP2,14.99,4.7,20126.0
13,9780593296844,Viking,SOMETHING TO HIDE,Hardcover Fiction,2022-02-02,B09284JLRF,14.99,4.4,2781.0
12,9781982168438,Scribner,CLOUD CUCKOO LAND,Hardcover Fiction,2022-02-02,B08TRMSR3Z,15.99,4.5,8788.0
10,9780385547932,Doubleday,TO PARADISE,Hardcover Fiction,2022-02-02,B091XWH5T2,14.99,4.2,203.0
9,9781984818416,Ballantine,WISH YOU WERE HERE,Hardcover Fiction,2022-02-02,B0925DXNV1,14.99,4.4,12056.0
11,9780593465066,Viking,CALL US WHAT WE CARRY,Hardcover Fiction,2022-02-02,0593465067,14.53,4.9,1794.0
7,9780385546027,Doubleday,THE JUDGE'S LIST,Hardcover Fiction,2022-02-02,B093N8JP2B,0.0,4.5,37826.0
6,9781501171345,Simon & Schuster,THE LAST THING HE TOLD ME,Hardcover Fiction,2022-02-02,1501171348,13.5,4.3,67766.0
5,9780593185414,Dutton,ONE STEP TOO FAR,Hardcover Fiction,2022-02-02,B09HCV6XHF,0.0,4.7,1656.0
4,9780316499774,"Little, Brown",THE HORSEWOMAN,Hardcover Fiction,2022-02-02,B093ZQBLZY,14.99,4.4,1949.0
3,9780735222359,Viking,THE LINCOLN HIGHWAY,Hardcover Fiction,2022-02-02,B08WRH53MY,14.99,4.4,25618.0
8,9781627791502,Holt,CHASING HISTORY,Hardcover Nonfiction,2022-01-30,1627791507,25.49,4.5,162.0
14,9781501135972,Threshold Editions,AMERICAN MARXISM,Hardcover Nonfiction,2022-01-30,150113597X,14.0,4.9,26870.0
9,9781368042000,Hyperion Avenue,A LITTLE CLOSER TO HOME,Hardcover Nonfiction,2022-01-30,1368042007,16.68,4.6,360.0
15,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Hardcover Nonfiction,2022-01-30,1250223180,14.49,4.7,7810.0
15,9781250786173,Flatiron,OLGA DIES DREAMING,Hardcover Fiction,2022-01-30,1250786177,18.24,4.3,360.0
9,9781250803825,Minotaur,A FLICKER IN THE DARK,Hardcover Fiction,2022-01-30,B094DSXBS5,0.0,4.3,1193.0
6,9780593137789,Crown,HOW CIVIL WARS START,Hardcover Nonfiction,2022-01-30,0593137787,24.3,4.5,235.0
11,9781984821584,Delacorte,INVISIBLE,Hardcover Fiction,2022-01-30,B091PJSK74,14.99,4.6,2501.0
10,9781631492563,Liveright,THE LYRICS: 1956 TO THE PRESENT,Hardcover Nonfiction,2022-01-23,163149256X,90.0,4.8,1780.0
9,9781982182915,Simon & Schuster,PERIL,Hardcover Nonfiction,2022-01-23,9124143693,64.99,2.5,2.0
15,9780593159118,Ballantine,ALL ABOUT ME!,Hardcover Nonfiction,2022-01-23,B0992RFCW7,0.0,4.6,1821.0
14,9780374157357,"Farrar, Straus & Giroux",THE DAWN OF EVERYTHING,Hardcover Nonfiction,2022-01-23,B08TYBMHGV,0.0,4.5,1544.0
11,9781250274250,St. Martin's,RECKLESS GIRLS,Hardcover Fiction,2022-01-23,B092T9QSD9,14.99,4.0,1057.0
15,9781982156121,Simon & Schuster,THE SCHOOL FOR GOOD MOTHERS,Hardcover Fiction,2022-01-23,1982156120,17.99,3.9,803.0
13,9780593355398,Del Rey,STAR WARS: THE FALLEN STAR,Hardcover Fiction,2022-01-23,B09B2MSJGD,0.0,4.5,425.0
13,9780525540571,Sentinel,THE PRESIDENT AND THE FREEDOM FIGHTER,Hardcover Nonfiction,2022-01-16,0525540571,17.0,4.8,2523.0
14,9780062964618,Harper,VANDERBILT,Hardcover Nonfiction,2022-01-16,B08SXWYXF8,0.0,4.4,7647.0
15,9780762499502,Black Dog & Leventhal,"BEST WISHES, WARMEST REGARDS",Hardcover Nonfiction,2022-01-16,0762499508,20.0,4.9,2093.0
11,9780593236314,Crown,RENEGADES,Hardcover Nonfiction,2022-01-16,0593236319,29.03,4.8,1540.0
13,9780374602604,"Farrar, Straus & Giroux","BEAUTIFUL WORLD, WHERE ARE YOU",Hardcover Fiction,2022-01-16,0374602603,16.8,3.9,6770.0
14,9780735211230,Riverhead,A SLOW FIRE BURNING,Hardcover Fiction,2022-01-16,B08PQ1K5FL,0.0,3.9,9733.0
15,9780316485647,"Little, Brown",THE DARK HOURS,Hardcover Fiction,2022-01-16,B08WLRG1L2,14.99,4.6,25279.0
11,9780316499149,"Little, Brown",FEAR NO EVIL,Hardcover Fiction,2022-01-09,B08Y8M2Y7T,14.99,4.6,9374.0
13,9781982173678,"Simon & Schuster, St. Martin's",STATE OF TERROR,Hardcover Fiction,2022-01-09,B08VJL9Z5X,14.99,4.5,18272.0
14,9781538719725,Grand Central,MERCY,Hardcover Fiction,2022-01-09,B08Y8L2WB3,14.99,4.6,15845.0
15,9780385545136,Doubleday,HARLEM SHUFFLE,Hardcover Fiction,2022-01-09,B08QMZC2PM,14.99,4.3,6464.0
8,9780063046641,Broadside,ALL AMERICAN CHRISTMAS,Hardcover Nonfiction,2022-01-09,0063046644,13.96,4.8,5212.0
10,9781982173616,Scribner,BILLY SUMMERS,Hardcover Fiction,2022-01-09,B08V9HZGJP,0.0,4.6,30257.0
8,9780935112962,Callaway,THE BEATLES: GET BACK,Hardcover Nonfiction,2022-01-02,0935112960,30.0,4.8,2131.0
10,9780063092785,Harper,THESE PRECIOUS DAYS,Hardcover Nonfiction,2022-01-02,0063092786,19.54,4.7,1492.0
14,9780593135204,Ballantine,PROJECT HAIL MARY,Hardcover Fiction,2022-01-02,B08GB58KD5,0.0,4.7,52518.0
15,9781250784094,Celadon,THE BOOK OF HOPE,Hardcover Nonfiction,2022-01-02,1250784093,16.8,4.8,878.0
14,9780063082199,Custom House,WELCOME TO DUNDER MIFFLIN,Hardcover Nonfiction,2021-12-26,0063082195,19.79,4.8,878.0
7,9781984859501,Ten Speed,THERE AND BACK,Hardcover Nonfiction,2021-12-26,1984859501,45.0,4.6,612.0
6,9781637582350,Post Hill,FOR SUCH A TIME AS THIS,Hardcover Nonfiction,2021-12-26,1637582358,17.87,4.9,1750.0
12,9780063112193,Morrow,AUTOPSY,Hardcover Fiction,2021-12-26,B08XQQY33Y,14.99,4.4,4852.0
14,9780593186329,Dutton,BETRAYAL,Hardcover Nonfiction,2021-12-19,059318632X,21.92,4.8,2843.0
14,9781250272706,St. Martin's,THE BECOMING,Hardcover Fiction,2021-12-19,B08R2KLCXH,14.99,4.7,10050.0
7,9781982177423,Gallery,THE CHRISTMAS PROMISE,Hardcover Fiction,2021-12-12,198217742X,10.99,4.7,2136.0
8,9781984821553,Delacorte,FLYING ANGELS,Hardcover Fiction,2021-12-12,B08XBQ7BZ9,14.99,4.6,4757.0
13,9780063098206,Harper,GOD BLESS THIS MESS,Hardcover Nonfiction,2021-12-12,B08PHNV1ZZ,0.0,4.6,1128.0
13,9780593188163,Putnam,TOM CLANCY: CHAIN OF COMMAND,Hardcover Fiction,2021-12-05,B08WJ5BG3K,14.99,4.6,3553.0
7,9781984818508,Delacorte,BETTER OFF DEAD,Hardcover Fiction,2021-12-05,B08SBMCSQQ,14.99,4.1,25618.0
8,9781982154875,Atria,GAME ON,Hardcover Fiction,2021-12-05,B08VJM3RKN,15.99,4.6,13772.0
9,9780593419649,Putnam,CLIVE CUSSLER'S THE DEVIL'S SEA,Hardcover Fiction,2021-12-05,B08WHKKV4J,14.99,4.6,3900.0
14,9780316535861,"Little, Brown",GOING THERE,Hardcover Nonfiction,2021-12-05,B094RGFVWX,0.0,4.4,4031.0
15,9780593241318,Random House,IMMUNE,Hardcover Nonfiction,2021-12-05,0593241312,20.8,4.9,2282.0
9,9780062671127,Harper,THE SENTENCE,Hardcover Fiction,2021-11-28,B08TWYG991,14.99,4.4,2144.0
15,9780759554269,"Little, Brown",E.R. NURSES,Hardcover Nonfiction,2021-11-28,0759554269,11.55,4.5,3180.0
11,9780063039544,Custom House,TO RESCUE THE REPUBLIC,Hardcover Nonfiction,2021-11-28,B08SMFY9MG,14.99,4.8,3004.0
7,9781250817860,Metropolitan,MY BODY,Hardcover Nonfiction,2021-11-28,1250817862,13.0,4.6,889.0
6,9780063090026,Morrow,WOKE UP THIS MORNING,Hardcover Nonfiction,2021-11-21,0063090023,20.25,4.7,1064.0
15,9780063065246,Morrow,THE BOYS,Hardcover Nonfiction,2021-11-21,006306524X,18.02,4.7,3934.0
14,9781501194801,Scribner,BOTH/AND,Hardcover Nonfiction,2021-11-21,1501194801,15.0,4.6,863.0
12,9780062894472,HarperOne,WHOLEHEARTED FAITH,Hardcover Nonfiction,2021-11-21,0062894471,22.99,4.8,398.0
15,9780812989434,Random House,OH WILLIAM!,Hardcover Fiction,2021-11-21,B08PYR4X94,14.99,4.2,7230.0
11,9780525541998,Putnam,THE FAMILY,Hardcover Fiction,2021-11-21,0525541993,16.16,4.1,1710.0
10,9781984855121,Random House,OUR COUNTRY FRIENDS,Hardcover Fiction,2021-11-21,B08VRP55V1,14.99,3.8,1582.0
13,9781984818812,Ballantine,DEAR SANTA,Hardcover Fiction,2021-11-14,B08TGL2689,11.99,4.6,3830.0
12,9780593490594,Viking,SILVERVIEW,Hardcover Fiction,2021-11-14,B0957T3TLN,14.99,4.2,4158.0
11,9781982104412,Atria,FORGIVING PARIS,Hardcover Fiction,2021-11-14,B08VJL9XS7,12.99,4.7,1764.0
10,9780593423066,Portfolio,WOKE RACISM,Hardcover Nonfiction,2021-11-14,0593423062,18.01,4.6,1155.0
6,9781250765789,Andy Cohen,NOT ALL DIAMONDS AND ROSÉ,Hardcover Nonfiction,2021-11-14,1250765781,18.79,4.4,2580.0
11,9780593231524,Random House,MIDNIGHT IN WASHINGTON,Hardcover Nonfiction,2021-11-14,059323152X,19.22,4.8,3364.0
15,9781419751431,Abrams Image,MUSIC IS HISTORY,Hardcover Nonfiction,2021-11-07,1419751433,14.99,4.8,265.0
15,9781984821522,Delacorte,THE BUTLER,Hardcover Fiction,2021-11-07,B08SJNJWZL,14.99,4.5,5437.0
13,9780374181178,"Farrar, Straus & Giroux",CROSSROADS,Hardcover Fiction,2021-11-07,0374181179,15.0,4.2,3999.0
14,9781101984697,Dutton,WHERE THE DEER AND THE ANTELOPE PLAY,Hardcover Nonfiction,2021-11-07,B08ZGG5F12,0.0,4.5,650.0
8,9780306923708,Hachette,THE FIRST 21,Hardcover Nonfiction,2021-11-07,030692370X,20.49,4.8,1403.0
7,DORORIG001598,Audible Originals,THE SANDMAN: ACT II,Audio Fiction,2021-11-01,B00B8Y62BI,49.99,4.4,1320.0
10,9780547345666,Houghton Mifflin Harcourt,THE HANDMAID'S TALE,E-Book Fiction,2017-01-22,038549081X,7.99,4.4,51378.0
5,9781627795951,Henry Holt,THE NORTH WATER,E-Book Fiction,2017-01-22,125011814X,15.99,4.3,2267.0
6,9780698156357,Penguin,SILVER BAY,E-Book Fiction,2017-01-22,B00GSB2F5S,9.99,4.3,3943.0
8,9780997263640,KT Publishing,COMMANDER IN CHIEF,E-Book Fiction,2017-01-22,B01M6ASIN1,4.99,4.4,577.0
13,9780061752728,HarperCollins,STATE OF FEAR,E-Book Fiction,2017-01-22,B000776JN8,0.0,4.3,3009.0
14,9781942833291,Flip City Media,SEPARATION GAMES,E-Book Fiction,2017-01-22,B01M6VGJTC,5.99,4.6,548.0
13,9781455587964,Grand Central,THE TELOMERE EFFECT,E-Book Nonfiction,2017-01-22,1455587974,15.99,4.5,1042.0
12,9780743298490,Simon & Schuster,SHOCKAHOLIC,E-Book Nonfiction,2017-01-22,B0061YBLCU,0.0,4.5,740.0
3,9780345459503,Ballantine,DISTANT SHORES,E-Book Fiction,2017-01-22,B000FA64R8,8.99,4.4,4715.0
6,9781101904237,Broadway,DARK MATTER,E-Book Fiction,2017-01-15,1632994291,17.95,3.7,15.0
4,9781420140668,Zebra,CRASH AND BURN,E-Book Fiction,2017-01-15,B01DRXCGDU,0.0,4.7,1547.0
11,9781101947142,Knopf,HOMEGOING,E-Book Fiction,2017-01-15,B015VACH4U,11.99,4.6,13012.0
3,9781250069818,Flatiron,TRULY MADLY GUILTY,E-Book Fiction,2017-01-15,B01GF36EF0,0.0,4.0,10140.0
1,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,E-Book Fiction,2017-01-15,B01BU1ITMI,9.99,4.7,11764.0
7,9781466850606,St. Martin's,THE NIGHTINGALE,E-Book Fiction,2017-01-15,1250080401,8.28,4.8,82676.0
4,9781455565351,Grand Central,THE DAILY SHOW (THE BOOK),E-Book Nonfiction,2017-01-15,B01M8QIIUT,0.0,4.6,472.0
9,9781466885806,Thomas Dunne,ALL THE UGLY AND WONDERFUL THINGS,E-Book Fiction,2017-01-15,1250153964,8.59,4.4,9323.0
14,9781488022661,Carina Press,EVERYTHING FOR HER,E-Book Fiction,2017-01-15,B01K3QKWVW,4.99,4.5,684.0
5,9780553447446,Crown,EVICTED,E-Book Nonfiction,2017-01-15,0553447459,10.99,4.7,4950.0
10,9780062416216,HarperCollins,THE ALCHEMIST,E-Book Fiction,2017-01-15,0062315005,8.89,4.7,67054.0
7,9781101874943,Knopf,LAB GIRL,E-Book Nonfiction,2017-01-15,1101873728,10.99,4.5,2972.0
8,9780804138154,Crown Archetype,WHY NOT ME?,E-Book Nonfiction,2017-01-15,B00X690KZM,0.0,4.6,2972.0
6,9780385535601,Doubleday,DARK MONEY,E-Book Nonfiction,2017-01-15,B01A7BVFZK,0.0,4.7,3392.0
12,9781250075741,Flatiron,LOVE WARRIOR,E-Book Nonfiction,2017-01-15,B01BVU5IUE,0.0,4.6,5503.0
13,9780062414236,Ecco/HarperCollins,THE NEST,E-Book Fiction,2017-01-15,B010LU8V8Q,9.99,3.8,4749.0
15,9781628727234,Arcade,THE HAMILTON AFFAIR,E-Book Fiction,2017-01-08,1628728558,12.18,4.5,2430.0
14,9780345543028,Bantam,TURBO TWENTY-THREE,E-Book Fiction,2017-01-08,B01B0K7EM0,7.99,4.5,8327.0
13,9780385537049,Doubleday,THE UNDERGROUND RAILROAD,E-Book Fiction,2017-01-08,0345804325,12.41,4.5,18043.0
15,9780062494597,Harper/HarperCollins,SETTLE FOR MORE,E-Book Nonfiction,2017-01-08,B01GGOJVL2,0.0,4.3,2640.0
14,9780425285183,Random House,TALKING AS FAST AS I CAN,E-Book Nonfiction,2017-01-08,B01L0H5PD8,0.0,4.7,4301.0
13,9781501139901,Gallery Books,THE GIRL WITH THE LOWER BACK TATTOO,E-Book Nonfiction,2017-01-08,B01CPR9DIU,0.0,4.4,3239.0
11,9781501135934,Scribner,SHOE DOG,E-Book Nonfiction,2017-01-08,B01CRJA470,0.0,4.8,19276.0
2,9781943772711,NYLA,ONE FELL SWEEP,E-Book Fiction,2017-01-08,B01MSJJFAC,4.99,4.8,2703.0
7,9780698410664,Putnam,TOM CLANCY TRUE FAITH AND ALLEGIANCE,E-Book Fiction,2017-01-08,B01CZCW4XG,9.99,4.6,2934.0
8,9780804178815,Delacorte,NIGHT SCHOOL,E-Book Fiction,2017-01-08,B019B6WTRU,9.99,4.3,13957.0
10,9781501141539,Simon & Schuster,BORN TO RUN,E-Book Nonfiction,2017-01-08,B01BNVRATS,0.0,4.7,5165.0
9,9781455588206,Grand Central,TV (THE BOOK),E-Book Nonfiction,2017-01-08,1455588199,11.49,4.5,218.0
12,9781455569946,Forever,THE TROUBLE WITH DUKES,E-Book Fiction,2017-01-08,B01N3JM4S8,0.0,4.3,426.0
6,9781101968116,Loveswept,MAX,E-Book Fiction,2017-01-01,B01D7CP3OK,7.99,4.7,500.0
8,9781942847045,WGW Books,NAUGHTY BOSS,E-Book Fiction,2017-01-01,B01MRP9120,0.0,4.2,2293.0
10,9780451488701,Intermix,DARK CRIME,E-Book Fiction,2017-01-01,B01C3PTT74,2.99,4.7,1062.0
11,9780698190757,Berkley,ISLAND OF GLASS,E-Book Fiction,2017-01-01,B01CZCW26K,8.99,4.8,4238.0
2,9781946136039,HTJB,LIGHT AFTER DARK,E-Book Fiction,2017-01-01,B01N3LA31B,4.99,4.8,803.0
1,9780062381705,Morrow/HarperCollins,THE SEVENTH PLAGUE,E-Book Fiction,2017-01-01,B01D8K63NG,7.99,4.6,1993.0
14,9780997120172,Teddy Harrison,MOONSHADOW,E-Book Fiction,2017-01-01,B01MU0NADE,0.0,4.5,599.0
12,9780316362450,"Little, Brown",FILTHY RICH,E-Book Nonfiction,2017-01-01,1455542644,10.3,4.2,2540.0
8,9781493018901,Lyons Press,THE SANTA CLAUS MAN,E-Book Nonfiction,2017-01-01,1493008447,20.64,3.7,69.0
