rank,primary_isbn10,primary_isbn13,publisher,title,author,category,pub_date
1,0525559477,9780525559474,Viking,THE MIDNIGHT LIBRARY,Matt Haig,Hardcover Fiction,current
2,0593356152,9780593356159,Ballantine,THE MAID,Nita Prose,Hardcover Fiction,current
3,0735222355,9780735222359,Viking,THE LINCOLN HIGHWAY,Amor Towles,Hardcover Fiction,current
4,0316499773,9780316499774,"Little, Brown",THE HORSEWOMAN,James Patterson and Mike Lupica,Hardcover Fiction,current
5,0593185412,9780593185414,Dutton,ONE STEP TOO FAR,Lisa Gardner,Hardcover Fiction,current
6,1501171348,9781501171345,Simon & Schuster,THE LAST THING HE TOLD ME,Laura Dave,Hardcover Fiction,current
7,0385546025,9780385546027,Doubleday,THE JUDGE'S LIST,John Grisham,Hardcover Fiction,current
8,006288834X,9780062888341,Harper,THE STRANGER IN THE LIFEBOAT,Mitch Albom,Hardcover Fiction,current
9,1984818414,9781984818416,Ballantine,WISH YOU WERE HERE,Jodi Picoult,Hardcover Fiction,current
10,0385547935,9780385547932,Doubleday,TO PARADISE,Hanya Yanagihara,Hardcover Fiction,current
11,0593465067,9780593465066,Viking,CALL US WHAT WE CARRY,Amanda Gorman,Hardcover Fiction,current
12,1982168439,9781982168438,Scribner,CLOUD CUCKOO LAND,Anthony Doerr,Hardcover Fiction,current
13,0593296842,9780593296844,Viking,SOMETHING TO HIDE,Elizabeth George,Hardcover Fiction,current
14,1538728621,9781538728628,Grand Central,THE WISH,Nicholas Sparks,Hardcover Fiction,current
15,1101885688,9781101885680,Delacorte,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Hardcover Fiction,current
1,0385547935,9780385547932,Doubleday,TO PARADISE,Hanya Yanagihara,Hardcover Fiction,2022-01-30
2,0593356152,9780593356159,Ballantine,THE MAID,Nita Prose,Hardcover Fiction,2022-01-30
3,0593296842,9780593296844,Viking,SOMETHING TO HIDE,Elizabeth George,Hardcover Fiction,2022-01-30
4,0316499773,9780316499774,"Little, Brown",THE HORSEWOMAN,James Patterson and Mike Lupica,Hardcover Fiction,2022-01-30
5,0735222355,9780735222359,Viking,THE LINCOLN HIGHWAY,Amor Towles,Hardcover Fiction,2022-01-30
6,1501171348,9781501171345,Simon & Schuster,THE LAST THING HE TOLD ME,Laura Dave,Hardcover Fiction,2022-01-30
7,0525559477,9780525559474,Viking,THE MIDNIGHT LIBRARY,Matt Haig,Hardcover Fiction,2022-01-30
